genus specific_epithet
Pinus albicaulis
Pinus amamiana 
Pinus aristata  
Pinus arizonica 
Pinus armandii 
Pinus attenuata 
Pinus ayacahuite 
Pinus balfouriana 
Pinus banksiana 
Pinus bhutanica 
Pinus brutia 
Pinus bungeana 
Pinus canariensis 
Pinus caribaea 
Pinus cembra 
Pinus cembroides 
Pinus chiapensis 
Pinus clausa 
Pinus contorta 
Pinus cooperi 
Pinus coulteri 
Pinus cubensis 
Pinus culminicola 
Pinus dalatensis 
Pinus densata 
Pinus densiflora 
Pinus devoniana
Pinus douglasiana 
Pinus durangensis 
Pinus echinata 
Pinus edulis 
Pinus elliottii 
Pinus engelmannii 
Pinus fenzeliana 
Pinus flexilis 
Pinus fragilissima 
Pinus gerardiana 
Pinus glabra 
Pinus greggii 
Pinus halepensis 
Pinus hartwegii 
Pinus heldreichii 
Pinus herrerae 
Pinus hwangshanensis
Pinus jaliscana 
Pinus jeffreyi 
Pinus johannis 
Pinus juarezensis 
Pinus kesiya 
Pinus koraiensis 
Pinus krempfii 
Pinus kwangtungensis 
Pinus lambertiana 
Pinus latteri 
Pinus lawsonii 
Pinus leiophylla 
Pinus longaeva 
Pinus luchuensis 
Pinus lumholtzii 
Pinus maestrensis 
Pinus massoniana 
Pinus maximartinezii 
Pinus maximinoi 
Pinus merkusii 
Pinus monophylla 
Pinus montezumae 
Pinus monticola 
Pinus morrisonicola 
Pinus mugo 
Pinus muricata 
Pinus nelsonii 
Pinus nigra 
Pinus occidentalis 
Pinus oocarpa 
Pinus palustris 
Pinus parviflora 
Pinus patula 
Pinus peuce 
Pinus pinaster 
Pinus pinceana 
Pinus pinea 
Pinus ponderosa 
Pinus praetermissa 
Pinus pringlei 
Pinus pseudostrobus 
Pinus pumila 
Pinus pungens 
Pinus quadrifolia 
Pinus radiata 
Pinus remota 
Pinus resinosa 
Pinus rigida 
Pinus roxburghii 
Pinus rzedowskii 
Pinus sabiniana 
Pinus serotina 
Pinus sibirica 
Pinus squamata 
Pinus strobiformis 
Pinus strobus 
Pinus sylvestris 
Pinus tabuliformis 
Pinus taeda 
Pinus taiwanensis
Pinus tecunumanii 
Pinus teocote 
Pinus thunbergii 
Pinus torreyana 
Pinus tropicalis 
Pinus virginiana 
Pinus wallichiana 
Pinus washoensis 
Pinus yecorensis 
Pinus yunnanensis 
